Thorlabs Beam
Version: 7.0.4131.325
Date: 2019-05-16
Time: 11:06:47

Device: BP109-IR
S/N: M00230332

Resolution [µm]: 1.20
Sample Frequency [Hz]: 200000.00
Sample Count: 7504

Pos X [µm];X;Pos Y [µm];Y;
-4500;5.16e-04;-4393.18;4.83e-04;
-4498.81;3.50e-04;-4392;3.47e-04;
-4497.62;-2.41e-05;-4390.81;1.72e-05;
-4496.43;-1.18e-04;-4389.63;1.78e-05;
-4495.24;9.35e-05;-4388.44;-2.61e-04;
-4494.05;4.34e-04;-4387.26;-4.52e-04;
-4492.86;3.73e-04;-4386.07;1.41e-05;
-4491.67;7.10e-05;-4384.89;2.07e-04;
-4490.48;-5.63e-05;-4383.7;1.32e-04;
-4489.29;-6.97e-05;-4382.51;2.78e-05;
-4488.1;3.46e-04;-4381.33;-3.63e-05;
-4486.91;5.53e-04;-4380.14;-2.10e-04;
-4485.72;6.21e-05;-4378.96;1.41e-04;
-4484.53;-1.06e-04;-4377.77;3.21e-04;
-4483.34;7.38e-05;-4376.59;-2.86e-05;
-4482.15;3.90e-04;-4375.4;-4.79e-04;
-4480.96;3.64e-04;-4374.22;-6.79e-05;
-4479.77;-2.00e-04;-4373.03;2.24e-04;
-4478.58;-8.48e-05;-4371.85;2.76e-04;
-4477.39;1.09e-05;-4370.66;1.31e-04;
-4476.2;5.13e-04;-4369.48;-2.21e-04;
-4475.01;6.02e-04;-4368.29;-7.85e-05;
-4473.82;7.15e-05;-4367.11;-1.27e-04;
-4472.63;-1.78e-04;-4365.92;-1.07e-05;
-4471.44;-1.35e-04;-4364.74;2.16e-04;
-4470.25;4.18e-04;-4363.55;-1.16e-04;
-4469.06;2.43e-04;-4362.36;-2.01e-04;
-4467.87;2.96e-04;-4361.18;2.17e-04;
-4466.68;1.45e-04;-4359.99;1.20e-04;
-4465.49;-1.18e-04;-4358.81;-4.20e-05;
-4464.3;1.31e-04;-4357.62;-3.59e-04;
-4463.11;3.70e-04;-4356.44;-1.58e-04;
-4461.92;5.10e-04;-4355.25;2.27e-04;
-4460.73;-2.32e-04;-4354.07;2.31e-04;
-4459.54;-3.08e-04;-4352.88;2.41e-05;
-4458.35;6.08e-04;-4351.7;-3.09e-05;
-4457.16;7.33e-04;-4350.51;1.63e-04;
-4455.97;-5.32e-05;-4349.33;1.90e-04;
-4454.78;-2.19e-04;-4348.14;-1.28e-04;
-4453.59;1.67e-04;-4346.96;-2.18e-04;
-4452.4;6.17e-04;-4345.77;1.50e-04;
-4451.21;1.55e-04;-4344.59;9.01e-05;
-4450.02;3.28e-05;-4343.4;-2.03e-04;
-4448.83;1.04e-04;-4342.22;-2.84e-04;
-4447.64;1.92e-04;-4341.03;2.09e-04;
-4446.45;1.75e-04;-4339.84;2.13e-04;
-4445.26;-5.66e-05;-4338.66;1.26e-04;
-4444.07;1.34e-04;-4337.47;2.86e-05;
-4442.89;4.95e-04;-4336.29;-4.49e-05;
-4441.7;2.21e-04;-4335.1;-2.18e-05;
-4440.51;-1.55e-04;-4333.92;-1.47e-05;
-4439.32;3.49e-04;-4332.73;-3.01e-05;
-4438.13;4.18e-04;-4331.55;-1.79e-04;
-4436.94;-6.74e-05;-4330.36;-9.33e-05;
-4435.75;1.01e-04;-4329.18;1.15e-05;
-4434.56;1.79e-04;-4327.99;1.30e-04;
-4433.37;1.03e-04;-4326.81;2.59e-04;
-4432.18;3.55e-04;-4325.62;-1.57e-04;
-4430.99;2.82e-04;-4324.44;9.30e-05;
-4429.8;2.51e-04;-4323.25;1.19e-04;
-4428.61;5.19e-05;-4322.07;1.91e-04;
-4427.42;1.23e-04;-4320.88;-5.71e-05;
-4426.23;1.44e-04;-4319.69;-3.27e-04;
-4425.04;9.46e-06;-4318.51;-2.26e-04;
-4423.85;1.05e-04;-4317.32;6.82e-05;
-4422.66;3.89e-04;-4316.14;2.85e-04;
-4421.47;4.95e-04;-4314.95;3.94e-05;
-4420.28;1.05e-04;-4313.77;-1.04e-04;
-4419.09;-1.43e-04;-4312.58;8.11e-06;
-4417.9;5.39e-05;-4311.4;-1.19e-04;
-4416.71;3.51e-04;-4310.21;1.29e-04;
-4415.52;4.50e-04;-4309.03;1.25e-04;
-4414.33;3.12e-04;-4307.84;-3.89e-05;
-4413.14;-2.60e-04;-4306.66;-2.12e-05;
-4411.95;-1.31e-04;-4305.47;-1.35e-05;
-4410.76;3.86e-04;-4304.29;1.27e-06;
-4409.57;5.65e-04;-4303.1;-6.94e-05;
-4408.38;4.45e-04;-4301.92;-1.41e-04;
-4407.19;-1.05e-04;-4300.73;1.53e-04;
-4406;-4.39e-04;-4299.54;2.68e-04;
-4404.81;-1.17e-04;-4298.36;2.12e-04;
-4403.62;4.84e-04;-4297.17;-5.74e-05;
